"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"353","A Lot Like Love",2005-04-22,"Comedy","PG-13",21835784,28716947,2005
"354","The Hitchhiker's Guide to the Galaxy",2005-04-29,"Comedy","PG",51019112,67096891,2005
"355","Hauru no ugoku shiro",2005-06-10,"Adventure","PG",4710455,6194870,2005
"356","Herbie: Fully Loaded",2005-06-22,"Comedy","G",66010682,86812798,2005
"357","Dark Water",2005-07-08,"Thriller/Suspense","PG-13",25473093,33500491,2005
"358","Sky High",2005-07-29,"Adventure","PG",63939454,84088854,2005
"359","Valiant",2005-08-19,"Adventure","G",19478106,25616292,2005
"360","Flightplan",2005-09-23,"Thriller/Suspense","PG-13",89706988,117960425,2005
"361","The Greatest Game Ever Played",2005-09-30,"Drama","PG",15331289,20162672,2005
"362","Shopgirl",2005-10-21,"Drama","R",10284523,13519621,2005
"363","Chicken Little",2005-11-04,"Adventure","G",135386665,177954661,2005
"364","The Chronicles of Narnia: The Lion, t…",2005-12-09,"Adventure","PG",291710957,381557539,2005
"365","Casanova",2005-12-25,"Drama","R",11304403,14574087,2005
"366","Glory Road",2006-01-13,"Drama","PG",42647449,54888236,2006
"367","Annapolis",2006-01-27,"Drama","PG-13",17127992,22044113,2006
"368","Roving Mars",2006-01-27,"Documentary","G",10407978,12948025,2006
"369","Eight Below",2006-02-17,"Adventure","PG",81612565,105037235,2006
"370","The Shaggy Dog",2006-03-10,"Comedy","PG",61123569,78667428,2006
"371","Stay Alive",2006-03-24,"Horror","PG-13",23086480,29712825,2006
"372","The Wild",2006-04-14,"Adventure","G",37384046,48114115,2006
"373","Stick It",2006-04-28,"Comedy","PG-13",26910736,34634731,2006
"374","Goal! The Dream Begins",2006-05-12,"Drama","PG",4283255,5512647,2006
"375","Cars",2006-06-09,"Comedy","G",244082982,314140384,2006
"376","Pirates of the Caribbean: Dead Man’…",2006-07-07,"Adventure","PG-13",423315812,544817142,2006
"377","Step Up",2006-08-11,"Drama","PG-13",65328121,84078780,2006
"378","Invincible",2006-08-25,"Drama","PG",57806952,74398864,2006
"379","The Guardian",2006-09-29,"Action","PG-13",55011732,70801353,2006
"380","The Prestige",2006-10-20,"Thriller/Suspense","PG-13",53089891,68289913,2006
"381","Tim Burton's The Nightmare Before Chr…",2006-10-20,"Musical","PG",24732041,30737517,2006
"382","The Santa Clause 3: The Escape Clause",2006-11-03,"Comedy","G",84500122,108694869,2006
"383","D<U+00E9>j<U+00E0> Vu",2006-11-22,"Thriller/Suspense","PG-13",64038616,82267038,2006
"384","Apocalypto",2006-12-08,"Adventure","R",50866635,64959548,2006
"385","Primeval",2007-01-12,"Adventure","R",10597734,12985302,2007
"386","Bridge to Terabithia",2007-02-16,"Drama","PG",82234139,100760721,2007
"387","Wild Hogs",2007-03-02,"Comedy","PG-13",168213584,206110533,2007
"388","Meet the Robinsons",2007-03-30,"Adventure","G",97822171,119860589,2007
"389","The Lookout",2007-03-30,"Drama","R",4600585,5637048,2007
"390","The Hoax",2007-04-06,"Drama","R",7164995,8779196,2007
"391","The Invisible",2007-04-27,"Thriller/Suspense","PG-13",20568319,25202168,2007
"392","Pirates of the Caribbean: At World’…",2007-05-24,"Adventure","PG-13",309420425,379129960,2007
"393","Ratatouille",2007-06-29,"Comedy","G",206445654,252955933,2007
"394","Underdog",2007-08-03,"Adventure","PG",43760605,53619462,2007
"395","The Game Plan",2007-09-22,"Comedy","PG",90648202,111010758,2007
"396","Dan in Real Life",2007-10-20,"Romantic Comedy","PG-13",47642963,58350234,2007
"397","Enchanted",2007-11-21,"Romantic Comedy","PG",127706877,156074310,2007
"398","National Treasure 2: Book of Secrets",2007-12-21,"Adventure","PG",219961501,267003525,2007
"399","Hannah Montana/Miley Cyrus: Best of B…",2008-02-01,"Concert/Performance","G",65281781,76646993,2008
"400","Step Up 2 the Streets",2008-02-14,"Drama","PG-13",58017783,68118371,2008
"401","College Road Trip",2008-03-07,"Comedy","G",45610425,53550960,2008
"402","The Chronicles of Narnia: Prince Caspian",2008-05-16,"Adventure","PG",141621490,166277038,2008
"403","WALL-E",2008-06-27,"Adventure","G",223808164,262771918,2008
"404","Swing Vote",2008-08-01,"Comedy","PG-13",16289867,19125841,2008
"405","Goal! 2: Living the Dream...",2008-08-29,"Drama","PG-13",225067,264247,2008
"406","Miracle at St. Anna",2008-09-26,"Drama","R",7916887,9295171,2008
"407","Beverly Hills Chihuahua",2008-10-03,"Comedy","PG",94514402,110932022,2008
"408","Morning Light",2008-10-17,"Documentary","PG",275093,322979,2008
"409","High School Musical 3: Senior Year",2008-10-24,"Musical","G",90559416,106308538,2008
"410","Bolt",2008-11-21,"Comedy","PG",114053759,133702498,2008
"411","Bedtime Stories",2008-12-25,"Comedy","PG",110101975,128039679,2008
"412","Confessions of a Shopaholic",2009-02-13,"Romantic Comedy","PG",44277350,49767744,2009
"413","Jonas Brothers: The 3D Concert Experi…",2009-02-27,"Concert/Performance","G",38174685,38174685,2009
"414","Race to Witch Mountain",2009-03-13,"Adventure","PG",67172594,75501997,2009
"415","Hannah Montana the Movie",2009-04-10,"Drama","G",79576189,89443640,2009
"416","Earth",2009-04-22,"Documentary","G",32011576,35981010,2009
"417","Up",2009-05-29,"Adventure","PG",293004164,329336681,2009
"418","The Proposal",2009-06-19,"Romantic Comedy","PG-13",163958031,184288829,2009
"419","G-Force",2009-07-24,"Adventure","PG",119436770,134246932,2009
"420","Gake no ue no Ponyo",2009-08-14,"Adventure","G",15090399,16961607,2009
"421","X Games 3D: The Movie",2009-08-21,"Documentary","PG",1391434,1563976,2009
"422","Walt and El Grupo",2009-09-10,"Documentary","PG",20521,23064,2009
"423","Surrogates",2009-09-25,"Action","PG-13",38577772,43361416,2009
"424","Toy Story 3D Double Feature",2009-10-02,"Adventure","G",30702446,34509545,2009
"425","Disney's A Christmas Carol",2009-11-06,"Drama","PG",137855863,154927105,2009
"426","The Princess and the Frog",2009-11-25,"Adventure","G",104400899,116316457,2009
"427","Old Dogs",2009-11-25,"Comedy","PG",49492060,55503929,2009
"428","When in Rome",2010-01-29,"Romantic Comedy","PG-13",32680633,34917330,2010
"429","Alice in Wonderland",2010-03-05,"Adventure","PG",334191110,357063499,2010
"430","Waking Sleeping Beauty",2010-03-26,"Documentary","PG",80741,86264,2010
"431","The Last Song",2010-03-31,"Drama","PG",62950384,67258772,2010
"432","Oceans",2010-04-22,"Documentary","G",19422319,20751600,2010
"433","Prince of Persia: Sands of Time",2010-05-28,"Action","PG-13",90759676,96971361,2010
"434","Toy Story 3",2010-06-18,"Adventure","G",415004880,443408255,2010
"435","The Sorcerer's Apprentice",2010-07-14,"Adventure","PG",63150991,67473105,2010
"436","Step Up 3D",2010-08-06,"Drama","PG-13",42400223,45302137,2010
"437","Gedo Senki (Tales from Earthsea)",2010-08-13,"Adventure","PG-13",48658,51988,2010
"438","You Again",2010-09-24,"Comedy","PG",25702053,27461121,2010
"439","Secretariat",2010-10-08,"Drama","PG",59699513,63781920,2010
"440","Tangled",2010-11-24,"Adventure","PG",200821936,214388548,2010
"441","Tron: Legacy",2010-12-17,"Adventure","PG",172062763,183619259,2010
"442","Gnomeo and Juliet",2011-02-11,"Comedy","G",99967670,106270797,2011
"443","I am Number Four",2011-02-18,"Adventure","PG-13",55100437,58574607,2011
"444","Mars Needs Moms",2011-03-11,"Adventure","PG",21392758,22741603,2011
"445","African Cats",2011-04-22,"Documentary","G",15428747,16401551,2011
"446","Zokkomon",2011-04-22,"Adventure","PG",2815,2984,2011
"447","Prom",2011-04-29,"Comedy","PG",10130219,10768946,2011
"448","Pirates of the Caribbean: On Stranger…",2011-05-20,"Adventure","PG-13",241063875,256263359,2011
"449","Cars 2",2011-06-24,"Adventure","G",191450875,203522177,2011
"450","Winnie the Pooh",2011-07-15,"Adventure","G",26692846,28375869,2011
"451","The Help",2011-08-10,"Drama","PG-13",169705587,180404976,2011
"452","Fright Night",2011-08-19,"Horror","R",18298649,19452402,2011
"453","Real Steel",2011-10-07,"Action","PG-13",85463309,90848019,2011
"454","The Muppets",2011-11-23,"Comedy","PG",88625922,94189503,2011
"455","War Horse",2011-12-25,"Drama","PG-13",79883359,84762149,2011
"456","The Secret World of Arietty",2012-02-17,"Adventure","G",19192510,20325733,2012
"457","John Carter",2012-03-09,"Adventure","PG-13",73058679,77372445,2012
"458","Chimpanzee",2012-04-20,"Documentary","G",28965459,30675725,2012
"459","The Avengers",2012-05-04,"Action","PG-13",623279547,660081224,2012
"460","Brave",2012-06-22,"Adventure","PG",237282182,251292441,2012
"461","People Like Us",2012-06-29,"Drama","PG-13",12431792,13165822,2012
"462","The Odd Life of Timothy Green",2012-08-15,"Drama","PG",51853450,54914942,2012
"463","Frankenweenie",2012-10-05,"Comedy","PG",35287788,37363513,2012
"464","Wreck-It Ralph",2012-11-02,"Adventure","PG",189412677,200354959,2012
"465","Lincoln",2012-11-09,"Drama","PG-13",182207973,192122330,2012
"466","Oz the Great and Powerful",2013-03-08,"Adventure","PG",234770996,243434130,2013
"467","Iron Man 3",2013-05-03,"Action","PG-13",408992272,424084233,2013
"468","Monsters University",2013-06-21,"Adventure","G",268488329,278395641,2013
"469","The Lone Ranger",2013-07-02,"Western","PG-13",89302115,92597388,2013
"470","Disney Planes",2013-08-09,"Comedy","PG",90282580,93614037,2013
"471","The Fifth Estate",2013-10-18,"Drama","R",3254172,3374251,2013
"472","Thor: The Dark World",2013-11-08,"Adventure","PG-13",206362140,213962184,2013
"473","Kaze Tachinu",2013-11-08,"Drama","PG-13",5201879,5367415,2013
"474","Frozen",2013-11-22,"Adventure","PG",400738009,414997174,2013
"475","Delivery Man",2013-11-22,"Comedy","PG-13",30659817,31787136,2013
"476","Saving Mr. Banks",2013-12-13,"Drama","PG-13",83299761,86249969,2013
"477","Need for Speed",2014-03-14,"Action","PG-13",43568507,44955015,2014
"478","Muppets Most Wanted",2014-03-21,"Comedy","PG",51178893,52807594,2014
"479","Captain America: The Winter Soldier",2014-04-04,"Action","PG-13",259746958,268013076,2014
"480","Bears",2014-04-18,"Documentary","G",17780194,18346024,2014
"481","Million Dollar Arm",2014-05-10,"Drama","PG",36447959,37607865,2014
"482","Maleficent",2014-05-30,"Adventure","PG",241407328,249089809,2014
"483","Planes: Fire and Rescue",2014-07-18,"Adventure","PG",59157732,61040349,2014
"484","Guardians of the Galaxy",2014-08-01,"Adventure","PG-13",333172112,343771168,2014
"485","The Hundred-Foot Journey",2014-08-08,"Romantic Comedy","PG",54235441,55961409,2014
"486","Alexander and the Terrible, Horrible,…",2014-10-10,"Comedy","PG",66954149,69055550,2014
"487","Big Hero 6",2014-11-07,"Adventure","PG",222527828,229249222,2014
"488","Into the Woods",2014-12-25,"Musical","PG",128002372,130894237,2014
"489","Strange Magic",2015-01-23,"Adventure","PG",12429583,12429583,2015
"490","McFarland, USA",2015-02-20,"Drama","PG",44480275,44480275,2015
"491","Cinderella",2015-03-13,"Drama","PG",201151353,201151353,2015
"492","Monkey Kingdom",2015-04-17,"Documentary","G",16432322,16432322,2015
"493","Avengers: Age of Ultron",2015-05-01,"Action","PG-13",459005868,459005868,2015
"494","Tomorrowland",2015-05-22,"Adventure","PG",93436322,93436322,2015
"495","Inside Out",2015-06-19,"Adventure","PG",356461711,356461711,2015
"496","Ant-Man",2015-07-17,"Action","PG-13",180202163,180202163,2015
"497","Bridge of Spies",2015-10-16,"Thriller/Suspense","PG-13",72313754,72313754,2015
"498","The Good Dinosaur",2015-11-25,"Adventure","PG",123087120,123087120,2015
"499","Star Wars Ep. VII: The Force Awakens",2015-12-18,"Adventure","PG-13",936662225,936662225,2015
"500","The Finest Hours",2016-01-29,"Thriller/Suspense","PG",27569558,27569558,2016
"501","Zootopia",2016-03-04,"Adventure","PG",341268248,341268248,2016
"502","The Jungle Book",2016-04-15,"Adventure","PG",364001123,364001123,2016
"503","A Beautiful Planet",2016-04-29,"Documentary","G",7895708,7895708,2016
"504","Captain America: Civil War",2016-05-06,"Action","PG-13",408084349,408084349,2016
"505","Alice Through the Looking Glass",2016-05-27,"Adventure","PG",77042381,77042381,2016
"506","Finding Dory",2016-06-17,"Adventure","PG",486295561,486295561,2016
"507","The BFG",2016-07-01,"Adventure","PG",55483770,55483770,2016
"508","Pete’s Dragon",2016-08-12,"Adventure","PG",76233151,76233151,2016
"509","The Light Between Oceans",2016-09-02,"Drama","PG-13",12545979,12545979,2016
"510","Queen of Katwe",2016-09-23,"Drama","PG",8874389,8874389,2016
"511","Doctor Strange",2016-11-04,"Adventure","PG-13",232532923,232532923,2016
"512","Moana",2016-11-23,"Adventure","PG",246082029,246082029,2016
"513","Rogue One: A Star Wars Story",2016-12-16,"Adventure","PG-13",529483936,529483936,2016
