"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"82","The Muppet Christmas Carol",1992-12-11,"Comedy","G",27281507,55417615,1992
"83","Alive",1993-01-15,"Adventure","R",36299670,73914543,1993
"84","Aspen Extreme",1993-01-22,"Romantic Comedy","PG-13",7843388,15970955,1993
"85","Homeward Bound: The Incredible Journey",1993-02-03,"Adventure","G",41833324,85182343,1993
"86","The Cemetery Club",1993-02-03,"Comedy","PG-13",5583621,11369541,1993
"87","Swing Kids",1993-03-05,"Musical","PG-13",5632086,11468231,1993
"88","A Far Off Place",1993-03-12,"Adventure","PG",12890752,26248558,1993
"89","Born Yesterday",1993-03-26,"Romantic Comedy","PG",17760754,36165012,1993
"90","The Adventures of Huck Finn",1993-04-02,"Adventure","PG",24103594,49080505,1993
"91","Indian Summer",1993-04-23,"Comedy","R",14717851,29968953,1993
"92","Super Mario Bros.",1993-05-28,"Action","PG",20844907,42445058,1993
"93","Guilty as Sin",1993-06-04,"Thriller/Suspense","R",22622537,46064723,1993
"94","Life With Mikey",1993-06-04,"Comedy","PG",12349549,25146538,1993
"95","What's Love Got to Do With It",1993-06-09,"Drama","R",39100956,79618610,1993
"96","Son in Law",1993-07-02,"Comedy","PG-13",25989889,52921433,1993
"97","Hocus Pocus",1993-07-16,"Comedy","PG",39360491,80147079,1993
"98","Another Stakeout",1993-07-23,"Comedy","PG-13",20107504,40943541,1993
"99","The Joy Luck Club",1993-09-08,"Drama","R",32790064,66768171,1993
"100","Money for Nothing",1993-09-10,"Comedy","R",1044824,2127496,1993
"101","The Program",1993-09-24,"Action","R",23042200,46919256,1993
"102","Cool Runnings",1993-10-01,"Comedy","PG",68856263,140392731,1993
"103","The Nightmare Before Christmas",1993-10-13,"Musical","PG",50408318,100026637,1993
"104","The Three Musketeers",1993-11-12,"Adventure","PG",53661805,109310377,1993
"105","Sister Act 2 Back in the Habit",1993-12-10,"Comedy","PG",57319029,116965668,1993
"106","Tombstone",1993-12-25,"Western","R",56505065,115781734,1993
"107","The Air Up There",1994-01-07,"Comedy","PG",20782439,42940186,1994
